year,population,males,females,births,deaths,infant_deaths,conflicts,bonds_formed,bonds_dissolved,resource_gini,status_gini,reproductive_skew,mating_inequality,unmated_male_pct,unmated_female_pct,elite_repro_advantage,child_survival_rate,pair_bonded_pct,violence_rate,pop_growth_rate,avg_resources,avg_status,avg_health,avg_age,avg_aggression,avg_cooperation,avg_lifespan,scarcity,civilization_stability,social_cohesion,seed,scenario
31,1125,552,573,38,46,14,85,26,13,0.23819971288023156,0.15550349300162414,0.5461323078717932,0.6081047631946421,0.4368231046931408,0.1956521739130435,1007.2727272727273,0.7307692307692307,0.336,0.07555555555555556,-0.010554089709762533,2.6722610238485855,0.8170508494893441,0.5688717541734851,15.965333333333334,0.5158499315790609,0.5015454022125491,25.369565217391305,0.0,0.6115649420731656,0.4737737164405752,42,FREE_COMPETITION
32,1075,533,542,15,58,24,87,26,10,0.22484540380921758,0.13530799072514865,0.5394061291894261,0.6007920888305758,0.44981412639405205,0.1828793774319066,998.076923076923,0.38461538461538464,0.3330232558139535,0.08093023255813954,-0.044444444444444446,2.2677101106160986,0.8367423030689277,0.5323951895662655,16.38325581395349,0.5164443834943067,0.5011525526007181,23.689655172413794,0.8420644060468779,0.4852984604824419,0.46585636987749657,42,FREE_COMPETITION
33,1052,520,532,28,47,17,59,30,11,0.1934145539481893,0.13010623667904886,0.5326897337766903,0.6045608638672573,0.4448818897637795,0.172,1014.0,0.6222222222222222,0.33079847908745247,0.05608365019011407,-0.021395348837209303,3.5196651219311543,0.8443703940536047,0.5105205380192278,16.638783269961976,0.5152204188559106,0.5023208263300599,24.51063829787234,0.7094019872542126,0.6109715925066551,0.49660323547498975,42,FREE_COMPETITION
34,1055,516,539,42,37,7,51,30,11,0.19421728311835684,0.13787282919146837,0.5249073438572409,0.5978778716873956,0.45634920634920634,0.20161290322580644,958.0,0.8571428571428571,0.3175355450236967,0.04834123222748815,0.0028517110266159697,4.281400561917912,0.8387899593320404,0.5177359882268856,16.62654028436019,0.5132142673529976,0.5020874871063007,27.43243243243243,0.0,0.7034124521009812,0.501545895316454,42,FREE_COMPETITION
35,1039,514,525,31,45,5,61,28,17,0.19224767896564132,0.13631287479950593,0.5503731394190756,0.6132467532467532,0.5,0.2677165354330709,925.4901960784315,0.8611111111111112,0.3060635226179018,0.05871029836381136,-0.015165876777251185,4.341576273421917,0.8419347349646691,0.5186165476499298,16.82194417709336,0.5127567234565992,0.5039604538666623,24.42222222222222,0.0,0.6695064460543665,0.4853185415081664,42,FREE_COMPETITION
36,1022,507,515,33,49,6,46,35,14,0.19685875684446685,0.1387792239482526,0.5557356912672475,0.6085113963959101,0.5038167938931297,0.256,913.7254901960783,0.8461538461538461,0.30919765166340507,0.04500978473581213,-0.016361886429258902,4.326876373946857,0.8399243399969399,0.521684124691165,16.967710371819962,0.5119720991303757,0.5031354745596461,24.346938775510203,0.0,0.6846697943861019,0.5032111369862851,42,FREE_COMPETITION
37,1021,505,516,38,36,7,56,32,11,0.20397944425758063,0.1440563240973789,0.5684494520241556,0.6218130311614731,0.5037037037037037,0.265625,892.3076923076923,0.8444444444444444,0.31537708129285014,0.05484818805093046,-0.0009784735812133072,4.420336824789091,0.83511611896991,0.5229951495138458,17.09794319294809,0.5105967664358612,0.5041174486320255,24.555555555555557,0.0,0.6843710287959134,0.49346872284164467,42,FREE_COMPETITION
38,995,487,508,25,47,13,73,34,8,0.2186045801549228,0.13851937052310448,0.582776565385261,0.6296333123418736,0.45318352059925093,0.2480916030534351,875.0,0.6578947368421053,0.34472361809045227,0.07336683417085427,-0.025465230166503428,3.0085449789950314,0.8394020938419506,0.5190121968500016,17.24924623115578,0.5101298469046792,0.503794018621526,27.46808510638298,0.0,0.5869458294703248,0.48046233106670083,42,FREE_COMPETITION
39,960,468,492,24,58,23,90,37,17,0.2380518515472676,0.135456927478109,0.590859043736969,0.6392124692370795,0.4490566037735849,0.2633587786259542,830.7692307692308,0.5106382978723404,0.353125,0.09375,-0.035175879396984924,2.174080720752039,0.8417368648956051,0.4949008196758894,17.269791666666666,0.5103757054001081,0.5043640983492804,27.310344827586206,0.6043944267417816,0.5072170747616467,0.4581518893397122,42,FREE_COMPETITION
40,914,434,480,31,73,16,52,37,11,0.19296039710665114,0.13968569111719886,0.5952481165032197,0.6395717822645324,0.4090909090909091,0.2916666666666667,744.0,0.6595744680851063,0.3610503282275711,0.05689277899343545,-0.04791666666666667,4.280040177942496,0.8383463099223203,0.48994553435530735,16.796498905908095,0.5110472365991228,0.5044747773160766,29.684931506849313,0.7330926879889378,0.5972032516772622,0.5070415520642861,42,FREE_COMPETITION
41,919,437,482,44,39,6,49,44,9,0.20295085237448052,0.15385976038655436,0.5906694832502752,0.6416884702598988,0.3673469387755102,0.27099236641221375,718.0,0.88,0.3764961915125136,0.05331882480957562,0.005470459518599562,5.288398235238199,0.8250113294901305,0.5044238261926391,16.478781284004352,0.5100083612151965,0.5046377594914401,29.897435897435898,0.0,0.711376480556217,0.5169802398139862,42,FREE_COMPETITION
42,926,444,482,51,41,8,48,33,15,0.21876078816480815,0.16711194561846332,0.5895916052183778,0.6363859168737216,0.3861788617886179,0.2740740740740741,729.4117647058823,0.864406779661017,0.3747300215982721,0.05183585313174946,0.007616974972796518,5.903933764962931,0.8130785592533174,0.5187796843072315,16.204103671706264,0.5112591526403364,0.5040811471628496,26.682926829268293,0.0,0.7084222357972058,0.5179931500098482,42,FREE_COMPETITION
43,905,435,470,43,60,8,47,39,17,0.2301644021879674,0.1736040466988158,0.5753050016257846,0.6285502759456185,0.35294117647058826,0.24096385542168675,675.0,0.8431372549019608,0.37900552486187844,0.051933701657458566,-0.02267818574514039,5.43468091122385,0.8061415786059324,0.5384538656933475,15.650828729281768,0.5132323393015727,0.5036623184678759,29.116666666666667,0.0,0.6710235237858503,0.5191997340169846,42,FREE_COMPETITION
44,919,446,473,49,33,6,50,30,16,0.23407792286536377,0.18151669789571834,0.5446114623332945,0.5947865327427371,0.3803418803418803,0.264,616.6666666666666,0.8909090909090909,0.35799782372143635,0.0544069640914037,0.015469613259668509,6.295782634636799,0.7980719434404179,0.5521917223664242,15.369967355821545,0.5146715328355385,0.5046308983478864,29.242424242424242,0.0,0.7134705288349784,0.5091428925274026,42,FREE_COMPETITION
45,922,448,474,45,38,4,47,31,14,0.23396005632262673,0.18354750630595706,0.540863433326531,0.5888934979844072,0.38961038961038963,0.26294820717131473,602.0833333333333,0.9183673469387755,0.35357917570498915,0.0509761388286334,0.003264417845484222,7.021969878083031,0.7946592430568139,0.5642007275430152,15.171366594360087,0.5146378474502222,0.5038694624927939,27.526315789473685,0.0,0.7126369114284511,0.511580322958072,42,FREE_COMPETITION
46,907,434,473,40,51,5,66,35,17,0.26071839289899246,0.17940413568720315,0.51730869338886,0.5732161719811024,0.3271889400921659,0.2170212765957447,588.8888888888889,0.8888888888888888,0.3638368246968026,0.07276736493936053,-0.016268980477223426,4.033654247567134,0.7963764303766682,0.5723460285152776,14.931642778390298,0.5142979578918905,0.5034743887262116,27.058823529411764,0.0,0.6492340394606798,0.48777343796016487,42,FREE_COMPETITION
47,875,418,457,21,51,20,71,27,15,0.2549765842098337,0.16183962441994404,0.5046730979954022,0.5486410256410257,0.315,0.22466960352422907,602.3809523809524,0.5121951219512195,0.3577142857142857,0.08114285714285714,-0.03528114663726571,2.9949664581690905,0.8112803642290011,0.551621056133852,15.024,0.5161520266463067,0.5033332148669163,25.745098039215687,0.6985928634399443,0.5237151741514295,0.4751047145181951,42,FREE_COMPETITION
48,842,399,443,19,47,15,73,25,11,0.2405542017042399,0.14593498297821994,0.5196456075557672,0.5701814286670683,0.3282051282051282,0.25675675675675674,609.7560975609756,0.5588235294117647,0.3515439429928741,0.08669833729216152,-0.037714285714285714,2.540244751293682,0.8276152037590334,0.5272297776814706,15.229216152019003,0.5153716693780412,0.5049668154366979,24.27659574468085,0.7282491446337325,0.5265648418084963,0.4666541846069832,42,FREE_COMPETITION
49,797,381,416,17,55,11,81,25,10,0.2250684759602526,0.13626049757755054,0.5253642484878458,0.5824172430830041,0.358695652173913,0.22058823529411764,618.421052631579,0.6071428571428571,0.3475533249686324,0.10163111668757842,-0.05344418052256532,2.3664334380157785,0.8366398822566435,0.5062347280657358,15.27728983688833,0.513191913367484,0.5051524476764597,25.145454545454545,0.7109118312194563,0.5064583428075909,0.44666574695013217,42,FREE_COMPETITION
50,755,361,394,15,55,19,62,21,10,0.19763096062832286,0.12501538684772795,0.5166375850010414,0.5736060541157992,0.3390804597701149,0.2552083333333333,600.0,0.4411764705882353,0.34172185430463575,0.08211920529801324,-0.05269761606022585,2.967593644547993,0.8487453005955644,0.4793148358239955,15.373509933774834,0.5134547553334436,0.5056418982061486,24.327272727272728,0.8946033232412826,0.49884739572006975,0.46921040166656536,42,FREE_COMPETITION
51,718,353,365,19,53,9,49,22,7,0.16549353866807048,0.12254311750358471,0.540835958832178,0.586541607590795,0.3930635838150289,0.2558139534883721,608.8235294117646,0.6785714285714286,0.3245125348189415,0.06824512534818941,-0.04900662251655629,6.801477571148782,0.8525630394762768,0.47180433763964597,15.327298050139277,0.5105704738695738,0.5071576832041661,25.20754716981132,0.7537726355210157,0.5838467190932439,0.4811360537830592,42,FREE_COMPETITION
52,715,360,355,28,30,1,41,23,6,0.17769086089413633,0.13108939057258873,0.541474572977938,0.5801238432226457,0.38636363636363635,0.2331288343558282,618.1818181818181,0.9655172413793104,0.3258741258741259,0.057342657342657345,-0.004178272980501393,7.3164086449986945,0.8467686445792357,0.4795338461908684,15.395804195804196,0.5120969738989625,0.5077078890710272,24.533333333333335,0.0,0.7145299980526318,0.4954607780060333,42,FREE_COMPETITION
53,707,352,355,29,35,0,29,21,9,0.18574220647120376,0.13815755654943995,0.5349850076963458,0.5861471861471861,0.42857142857142855,0.2289156626506024,627.2727272727273,1.0,0.31683168316831684,0.04101838755304102,-0.011188811188811189,8.85055564629891,0.8432903148961808,0.4904435456532201,15.584158415841584,0.5122838128629982,0.507516372077062,20.17142857142857,0.0,0.7376599186626341,0.5126246534984344,42,FREE_COMPETITION
54,706,348,358,26,27,2,36,22,5,0.19180163457560284,0.14160477842126995,0.5384985852748179,0.5781318043257366,0.42168674698795183,0.27167630057803466,633.3333333333333,0.9285714285714286,0.31444759206798867,0.05099150141643059,-0.0014144271570014145,9.99636949975076,0.8415499949214358,0.49673267906888263,15.847025495750708,0.5126002945020536,0.5073190201806482,20.85185185185185,0.0,0.7130479897562876,0.49924488852551707,42,FREE_COMPETITION
55,705,344,361,34,31,3,47,21,10,0.21352433756739497,0.15438084479131886,0.546590589131623,0.5857326007326007,0.4523809523809524,0.281767955801105,632.3529411764705,0.918918918918919,0.3148936170212766,0.06666666666666667,-0.00141643059490085,7.80905184895597,0.8286767516532717,0.5060031003092704,15.812765957446809,0.509728669899562,0.507297613130693,23.903225806451612,0.0,0.6828424741745415,0.4797984778763907,42,FREE_COMPETITION
56,717,353,364,39,25,1,28,30,6,0.22563058147096093,0.16824580905188213,0.5523054503060332,0.5940428380187417,0.45,0.2918918918918919,613.8888888888889,0.975,0.3207810320781032,0.03905160390516039,0.01702127659574468,7.80197224855163,0.8148665765116974,0.523153875732308,15.669456066945607,0.5093519984959879,0.5083686170136658,25.56,0.0,0.7551849092555274,0.516806303151352,42,FREE_COMPETITION
57,714,356,358,34,35,6,30,27,7,0.2291606435141491,0.17172401425647643,0.5458046767537825,0.5807450051843941,0.425414364640884,0.2717391304347826,638.8888888888889,0.85,0.3333333333333333,0.04201680672268908,-0.0041841004184100415,8.024813363116714,0.8102178205024764,0.5385173508558375,15.606442577030812,0.5080348309355602,0.5083671405055837,23.457142857142856,0.0,0.6994585607947265,0.5174925144655388,42,FREE_COMPETITION
58,728,362,366,38,23,5,23,23,9,0.2344936936669304,0.17606814046569919,0.5577987139225362,0.6078484195402301,0.453125,0.28205128205128205,623.6842105263157,0.8837209302325582,0.33653846153846156,0.03159340659340659,0.0196078431372549,8.15531633965576,0.80518994881084,0.5539037074512776,15.501373626373626,0.5074183025283312,0.5098098036504571,25.52173913043478,0.0,0.7467299963026678,0.5322206247568861,42,FREE_COMPETITION
59,731,358,373,46,39,4,39,32,9,0.24798681057262795,0.19223841852260315,0.5524214162348877,0.6161099137931034,0.4427083333333333,0.26804123711340205,623.6842105263157,0.92,0.34062927496580025,0.0533515731874145,0.004120879120879121,8.362457695027638,0.7875329108276234,0.5787534189365061,14.958960328317373,0.5067115332053418,0.5083206049948079,26.897435897435898,0.0,0.7055905484701019,0.5058590217516852,42,FREE_COMPETITION
